idx,AuthorID,Name,PaperCount,hIndex,email,Gender
1,0,,,,,
2,10000107,Alan J Lewitus,86,35,,
3,10000157,Cuong Chu,11,4,,
4,10000376,Anne W Wendrich,9,6,,
5,10000511,Jennifer K Wagner,72,19,,
6,10001179,Guang-hua Gong,80,15,,
7,10001427,Hongxiang Fan,39,10,,
8,10001870,Lisa Tse,5,4,,
9,10002103,Daniel Fovargue,20,10,,
10,10002128,Alexandr Usachev,75,18,,
11,10002167,Ennio De Giovannini,7,2,,
12,10003183,Jamila Laoukili,34,16,,
13,10003453,Gert O Kerkhoff,21,7,,
14,10003642,Joel Finkelstein,12,9,,
15,10003757,Edmundo Kronmüller,12,6,,
16,10004106,Nicolas Javahiraly,61,9,,
17,10004111,Luca Telesca,21,9,,
18,10004295,Mile Bošnjak,69,7,,
19,10004673,Xiangzhu Meng,11,4,,
20,10005201,Silvia Susana Seiro,72,18,,
21,10005239,Nicole Mairon,21,9,,
22,10005377,Steve Milkins,6,4,,
23,10005493,Aamer Bilal Asghar,12,5,,
24,10005567,Jozsef Suto,22,9,,
25,10006041,Morten S Olesen,194,36,,
26,10006924,Martin Ploschner,31,10,,
27,10007120,Thomas Pöschinger,22,8,,
28,10007124,Marton Szemenyei,25,7,,
29,10007273,Qiaolin Xia,13,7,,
30,10007321,Farnoosh Heidarivincheh,11,5,,
31,10007378,Amaali Lokuge,8,4,,
32,10007732,Nazanin Alipourfard,14,7,,
33,10007835,Feng Luo,19,5,,
34,10007869,Nadja Ehmke,41,16,,
35,10007997,Bonnie Lind,52,27,,
36,10008081,Christina L Luong,73,14,,
37,10008696,Jennifer Hsu,9,2,,
38,10008743,Hoang Nguyen,128,38,,
39,10008868,Shao‐bo Mi,149,31,,
40,10008871,Lisa F Shubitz,57,18,,
41,10009015,Guomin Sun,14,4,,
42,10009081,Bartosz Zygadlo,2,1,,
43,10009283,Patsy Lenane,43,13,,
44,10009581,Hugo Oliveira,18,6,,
45,10009594,Ben Reiser,79,31,,
46,10009823,Joshua Everhart,127,21,,
47,10009886,David Lee,80,23,,
48,10009964,Todd Palmby,30,24,,
49,10010370,Adam Bystrzycki,26,8,,
50,10010376,Pavlína Urbanová,17,3,,
51,10010647,Simon B Kristensen,12,4,,0
52,10010881,Shigeki Namimatsu,27,7,,
53,10010914,Haraldur Tómas Hallgrímsson,4,2,,
54,10011919,Shigeyuki Yoshida,15,5,,
55,10012139,Gordana Lilic,11,5,,
56,10012247,Valia Guerra Ones,11,1,,
57,10012261,Yumeng Wen,24,9,,
58,10012404,Dave Bushek,81,31,,
59,10012504,Javier Urzay,111,21,,
60,10012631,David Rutkowski,23,9,,
61,10012756,Tom Wirtz,180,22,,
